Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR	Cliffs_delta	Absolute_delta	Direction	Magnitude
T cells regulatory (Tregs)	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.06063316504634	0.0549786339479721	0.00565453109836789	0.32954741929632086	0.8518639576018326	0.23076923076923078	0.23076923076923078	Higher_in_Group_1	small
T cells follicular helper	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	0.34848980083711334	0.8518639576018326	0.16568047337278108	0.16568047337278108	Higher_in_Group_1	small
Dendritic cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.01487589883631	0.0134193063866895	0.0014565924496205	0.4720305525898033	0.9455778146461364	0.17159763313609466	0.17159763313609466	Higher_in_Group_1	small
Eosinophils	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0309419981016169	0.024975279178663	0.0059667189229539	0.4727889073230683	0.9455778146461364	0.17159763313609466	0.17159763313609466	Higher_in_Group_1	small
NK cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0129048122930154	0.0043005742727627	0.00860423802025269	0.6005045650969236	0.999706200933856	0.1242603550295858	0.1242603550295858	Higher_in_Group_1	negligible
T cells CD4 naive	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0068071451661587	0	0.0068071451661587	0.6077547128640621	0.999706200933856	0.11242603550295859	0.11242603550295859	Higher_in_Group_1	negligible
Monocytes	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0410866034667516	0.0376587481220937	0.0034278553446579	0.6816178642730836	0.999706200933856	0.10059171597633136	0.10059171597633136	Higher_in_Group_1	negligible
Macrophages M0	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0274533310506335	0.0285775300008141	-0.0011241989501806	0.6816178642730836	0.999706200933856	0.10059171597633136	0.10059171597633136	Higher_in_Group_1	negligible
T cells CD8	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0675738395230614	0.0584491962242939	0.00912464329876749	0.9591007702858604	1	0.01775147928994083	0.01775147928994083	Higher_in_Group_1	negligible
Macrophages M1	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0095624302491275	0.0091745271806739	3.8790306845360063e-4	0.9591007702858604	1	-0.01775147928994083	0.01775147928994083	Lower_in_Group_1	negligible
NK cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.052343818396039	0.0556104619216959	-0.00326664352565689	0.979540166147195	1	-0.011834319526627219	0.011834319526627219	Lower_in_Group_1	negligible
Plasma cells	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	1	1	0	0	No_difference	negligible
T cells gamma delta	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	1	1	-0.005917159763313609	0.005917159763313609	Lower_in_Group_1	negligible
Dendritic cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0153115593406296	0.0189938460069709	-0.0036822866663413	1	1	-0.005917159763313609	0.005917159763313609	Lower_in_Group_1	negligible
Mast cells resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0774903303823772	0.0755675929558006	0.0019227374265766	1	1	0.005917159763313609	0.005917159763313609	Higher_in_Group_1	negligible
